State Code,State Name,County Code,County Name,Year,"Total Population total population of area, in thousands","Public Supply population served by groundwater, in thousands","Public Supply population served by surface water, in thousands","Public Supply total population served, in thousands","Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d","Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, groundwater, in Mgal/d","Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d","Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, surface water, in Mgal/d","Public Supply total self-supplied withdrawals, fresh, in Mgal/d","Public Supply total self-supplied withdrawals, saline, in Mgal/d","Public Supply total self-supplied withdrawals, total, in Mgal/d","Public Supply deliveries to domestic, in Mgal/d","Public Supply deliveries to commercial, in Mgal/d","Public Supply deliveries to industrial, in Mgal/d","Public Supply deliveries to thermoelectric, in Mgal/d","Public Supply total deliveries, in Mgal/d","Public Supply public use and losses, in Mgal/d","Public Supply per capita use, in gallons/person/day","Public Supply reclaimed wastewater, in Mgal/d",Public Supply number of facilities,"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d","Domestic self-supplied groundwater withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, groundwater, in Mgal/d","Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d","Domestic self-supplied surface-water withdrawals, saline, in Mgal/d","Domestic total self-supplied withdrawals, surface water, in Mgal/d","Domestic total self-supplied withdrawals, fresh, in Mgal/d","Domestic self-supplied population, in thousands","Domestic deliveries from public supply, in Mgal/d","Domestic total self-supplied withdrawals, saline, in Mgal/d","Domestic per capita use, public-supplied, in gallons/person/day","Domestic total self-supplied withdrawals, in Mgal/d","Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic consumptive use, fresh, in Mgal/d","Domestic consumptive use, saline, in Mgal/d","Domestic total consumptive use, in Mgal/d","Domestic per capita use, self-supplied, in gallons/person/day","Domestic reclaimed wastewater, in Mgal/d","Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d","Commercial self-supplied groundwater withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, groundwater, in Mgal/d","Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d","Commercial self-supplied surface-water withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, surface water, in Mgal/d","Commercial total self-supplied withdrawals, fresh, in Mgal/d","Commercial total self-supplied withdrawals, saline, in Mgal/d","Commercial total self-supplied withdrawals, in Mgal/d","Commercial deliveries from public supply, in Mgal/d","Commercial total self-supplied withdrawals plus deliveries, in Mgal/d","Commercial consumptive use, fresh, in Mgal/d","Commercial consumptive use, saline, in Mgal/d","Commercial total consumptive use, in Mgal/d","Commercial reclaimed wastewater, in Mgal/d","Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities,"Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d","Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d","Livestock total self-supplied withdrawals, fresh, in Mgal/d","Livestock consumptive use, fresh, in Mgal/d","Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d","Irrigation, Crop consumptive use for crops, fresh, in Mgal/d","Irrigation, Crop conveyance loss for crops, in Mgal/d","Irrigation, Crop sprinkler irrigation for crops, in thousand acres","Irrigation, Crop microirrigation for crops, in thousand acres","Irrigation, Crop surface irrigation for crops, in thousand acres","Irrigation, Crop total irrigation for crops, in thousand acres","Irrigation, Crop reclaimed wastewater for crops, in Mgal/d"
6,California,1,Alameda County,1985,1195.16,185.95,967.16,1153.11,31.58,-,-,163.52,-,-,195.1,-,-,119.01,44.87,6.24,0,170.12,-,-,-,-,2.9,-,-,0.25,-,-,3.15,42.05,119.01,-,103,-,122.16,31.76,-,-,75,-,1.09,-,-,0.1,-,-,1.19,-,-,44.87,-,11.67,-,-,-,3.26,0,3.26,0.01,0.61,0.62,3.27,0.61,3.88,6.24,10.12,2.39,0.14,2.53,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,1,Alameda County,1990,1279.18,109.37,1142.44,1251.81,23.83,-,-,197.54,-,-,221.37,-,-,141.39,29.18,22.79,0,193.36,-,-,-,13,0.18,-,-,1.87,-,-,2.05,27.37,141.39,-,113,-,143.44,37.44,-,-,75,-,0,-,-,0,-,-,0,-,-,29.18,-,1.32,-,-,-,0,0,0,0,0,0,0,0,0,22.79,22.79,2.37,0.18,2.55,0,1579,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,1,Alameda County,1995,1347.7,165.83,1162.82,1328.65,31.05,0,31.05,183.51,0,183.51,214.56,0,214.56,142.02,31.1,21.82,0,194.94,19.62,161,2.98,8,1.29,0,1.29,0.14,0,0.14,1.43,19.05,142.02,0,107,1.43,143.45,37.3,0,37.3,75,-,0.18,0,0.18,0,0,0,0.18,0,0.18,31.1,31.28,8.09,0,8.09,1.81,6.55,0,6.55,0.2,0,0.2,6.75,0,6.75,21.82,28.57,8.29,0,8.29,0,1564,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,1,Alameda County,2000,1443.74,152.46,1114.42,1266.88,26.7,-,-,193.7,-,-,220.4,-,-,-,-,-,-,-,-,-,-,-,11.94,-,-,1.33,-,-,13.27,176.86,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.53,0,2.53,0.12,0.31,0.43,2.65,0.31,2.96,-,-,-,-,-,-,-,0.39,0.49,0.88,-,6.5,11.5,18,-,-,0,5.4,2.1,7.5,-
6,California,1,Alameda County,2005,1448.905,477.712,955.782,1433.494,52.19,0,52.19,104.42,0,104.42,156.61,0,156.61,73.34,-,-,-,-,-,109,-,-,2.67,-,-,0.83,-,-,3.5,15.411,73.34,-,51,-,76.84,-,-,-,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0,0.04,0.01,0,0.01,0.05,0,0.05,-,-,-,-,-,-,-,0.14,0.18,0.32,-,-,-,-,-,-,-,-,-,-,-
6,California,1,Alameda County,2010,1510.271,0.78,1447.92,1448.7,19.01,3.42,22.43,193.07,0,193.07,212.08,3.42,215.5,124.4,-,-,-,-,-,149,-,-,3.3,-,-,1.32,-,-,4.62,61.571,124.4,-,86,-,129.02,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,0,0.9,0,0,0,0.9,0,0.9,-,-,-,-,-,7.5,-,0.12,0.15,0.27,-,12.17,4.7,16.87,-,-,0,6.78,2.61,9.39,-
6,California,1,Alameda County,2015,1638.215,-,-,1629.9,17.63,5.39,23.02,145.72,0,145.72,163.35,5.39,168.74,98.37,-,-,0,-,-,104,-,-,0.35,-,-,0.14,-,-,0.49,8.315,98.37,-,60,-,98.86,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,0,0.9,0,0,0,0.9,0,0.9,-,-,-,-,-,7.5,8,0.12,0.15,0.27,-,5.38,2.26,7.64,6.55,-,0.39,10.22,0,10.61,0
6,California,3,Alpine County,1985,1.2,0.43,0.55,0.98,0.07,-,-,0.09,-,-,0.16,-,-,0.1,0.04,0,0,0.14,-,-,-,-,0.01,-,-,0.01,-,-,0.02,0.22,0.1,-,102,-,0.12,0.03,-,-,91,-,0,-,-,0,-,-,0,-,-,0.04,-,0.01,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,3,Alpine County,1990,1.11,0.35,0.25,0.6,0.09,-,-,0.06,-,-,0.15,-,-,0.1,0.02,0,0,0.12,-,-,-,5,0.02,-,-,0.02,-,-,0.04,0.51,0.1,-,167,-,0.14,0.04,-,-,78,-,0,-,-,0,-,-,0,-,-,0.02,-,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,California,3,Alpine County,1995,1.17,0.28,0.62,0.9,0.05,0,0.05,0.06,0,0.06,0.11,0,0.11,0.1,0.01,0,0,0.11,0,122,0,2,0.02,0,0.02,0,0,0,0.02,0.27,0.1,0,111,0.02,0.12,0.04,0,0.04,74,-,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
