,County,Year,Total Population in Thousands,Population Served in Thousands,Public Self-Supply Withdrawals (Mgal/ day),Public Supply Per Capita (Gallons/Person/Day),Domestic Self-Supply Withdrawn (Mgal/day),Domestic Self-Supply Population (Thousands),"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d","Domestic, Public-Supply, Gallons/Person/Day",Total Domestic Consumption (Mgal/day),"Domestic, Self-Supply, Gallons/Person/Day","Industrial, Self-Supply Withdrawn (Mgal/day)",Industrial Total Consumption (Mgal/day),"Livestock, Self-Supply, Freshwater (Mgal/day)",Livestock Consumption Freshwater (Mgal/day),"Irrigation, Crop, Self-Supply, Fresh (Mgal/day)",Irrigation Crop Consumtion Freshwater (Mgal)
0,Alameda County,1985,1195.16,1153.11,,,3.15,42.05,122.16,103.0,,75.0,3.88,2.53,,,,
1,Alameda County,1990,1279.18,1251.81,,,2.05,27.37,143.44,113.0,,75.0,0.0,2.55,,,,
2,Alameda County,1995,1347.7,1328.65,214.56,161.0,1.43,19.05,143.45,107.0,37.3,75.0,6.75,8.29,,,,
3,Alameda County,2000,1443.74,1266.88,,,13.27,176.86,,,,75.0,2.96,,0.88,,18.0,
4,Alameda County,2005,1448.905,1433.494,156.61,109.0,3.5,15.411,76.84,51.0,,227.0,0.05,,0.32,,,
5,Alameda County,2010,1510.271,1448.7,215.5,149.0,4.62,61.571000000000005,129.02,86.0,,75.0,0.9,,0.27,,16.87,
6,Alameda County,2015,1638.215,1629.9,168.74,104.0,0.49,8.315,98.86,60.0,,59.0,0.9,,0.27,,7.64,6.55
7,Alpine County,1985,1.2,0.98,,,0.02,0.22,0.12,102.0,,91.0,0.0,0.0,,,,
8,Alpine County,1990,1.11,0.6,,,0.04,0.51,0.14,167.0,,78.0,0.0,0.0,,,,
9,Alpine County,1995,1.17,0.9,0.11,122.0,0.02,0.27,0.12,111.0,0.04,74.0,0.0,0.0,,,,
10,Alpine County,2000,1.21,0.6,,,0.04,0.61,,,,66.0,0.0,,0.07,,14.9,
11,Alpine County,2005,1.159,0.32,0.08,250.0,0.01,0.8390000000000001,0.09,250.0,,12.0,0.04,,0.03,,,
12,Alpine County,2010,1.175,0.75,0.19,253.0,0.04,0.425,0.12,107.0,,94.0,0.0,,0.01,,4.22,
13,Alpine County,2015,1.11,0.705,0.1,142.0,0.04,0.405,0.1,85.0,,99.0,0.0,,0.0,,9.69,6.99
14,Amador County,1985,22.89,12.54,,,0.68,10.35,2.43,140.0,,66.0,0.0,0.48,,,,
15,Amador County,1990,30.04,23.15,,,0.52,6.89,2.31,77.0,,75.0,0.0,0.22,,,,
16,Amador County,1995,32.6,26.7,9.74,365.0,0.44,5.9,2.76,87.0,0.72,75.0,0.0,0.43,,,,
17,Amador County,2000,35.1,26.82,,,0.62,8.28,,,,75.0,0.15,,0.62,,24.6,
18,Amador County,2005,38.471,20.225,6.0,297.0,0.13,18.246,4.94,238.0,,7.0,0.1,,0.32,,,
19,Amador County,2010,38.091,30.21,7.59,251.0,0.57,7.881,3.69,103.0,,72.0,0.41,,0.23,,16.49,
20,Amador County,2015,37.001,27.92,8.64,309.0,0.97,9.081,3.96,107.0,,107.0,0.41,,0.23,,20.46,16.96
21,Butte County,1985,163.22,134.18,,,2.18,29.04,26.36,180.0,,75.0,1.65,0.86,,,,
22,Butte County,1990,182.12,122.72,,,4.46,59.4,25.28,170.0,,75.0,0.0,0.02,,,,
23,Butte County,1995,196.1,152.71,44.96,294.0,3.26,43.39,33.88,201.0,8.81,75.0,0.0,0.26,,,,
24,Butte County,2000,203.17,164.77,,,2.88,38.4,,,,75.0,0.26,,0.61,,972.4,
25,Butte County,2005,214.185,211.921,40.68,192.0,9.48,2.2640000000000002,45.26,169.0,,4187.0,1.27,,0.42,,,
26,Butte County,2010,220.0,186.2,42.84,230.0,2.54,33.8,31.46,155.0,,75.0,4.02,,0.32,,645.25,
27,Butte County,2015,225.41099999999997,187.25900000000001,28.81,154.0,3.37,38.152,22.06,100.0,,88.0,4.02,,0.29,,752.2,591.51
28,Calaveras County,1985,26.88,20.71,,,0.14,6.17,2.34,106.0,,23.0,0.59,0.55,,,,
29,Calaveras County,1990,32.0,11.62,,,1.53,20.38,2.85,114.0,,75.0,0.0,0.0,,,,
30,Calaveras County,1995,36.95,28.77,5.08,177.0,0.61,8.18,4.35,130.0,1.13,75.0,0.52,0.16,,,,
31,Calaveras County,2000,40.55,35.61,,,0.37,4.94,,,,75.0,0.0,,0.34,,6.4,
32,Calaveras County,2005,46.871,38.898,6.59,169.0,3.98,7.973,13.02,232.0,,499.0,1.78,,0.47,,,
33,Calaveras County,2010,45.578,33.01,9.65,292.0,0.78,12.568,7.11,192.0,,62.0,0.17,,0.38,,11.04,
